x,y,SCF
0.0,0.0,-4399.90923097
0.0,1.0,-4399.91427577
0.0,2.0,-4399.91969244
0.0,3.0,-4399.91710079
0.0,4.0,-4399.91746386
0.0,5.0,-4399.9209033
0.0,6.0,-4399.91563282
0.0,7.0,-4399.90926049
1.0,0.0,-4399.91208732
1.0,1.0,-4399.91756166
1.0,2.0,-4399.92266252
1.0,3.0,-4399.91925129
1.0,4.0,-4399.91907359
1.0,5.0,-4399.92271699
1.0,6.0,-4399.91799559
1.0,7.0,-4399.91209898
2.0,0.0,-4399.91364031
2.0,1.0,-4399.91948432
2.0,2.0,-4399.92419194
2.0,3.0,-4399.91999893
2.0,4.0,-4399.9191703
2.0,5.0,-4399.92283503
2.0,6.0,-4399.91879609
2.0,7.0,-4399.91363038
3.0,0.0,-4399.90898066
3.0,1.0,-4399.9144962
3.0,2.0,-4399.91877669
3.0,3.0,-4399.91438855
3.0,4.0,-4399.91329903
3.0,5.0,-4399.91677549
3.0,6.0,-4399.91333924
3.0,7.0,-4399.90896266
4.0,0.0,-4399.90955581
4.0,1.0,-4399.91520818
4.0,2.0,-4399.92005632
4.0,3.0,-4399.91614067
4.0,4.0,-4399.91529404
4.0,5.0,-4399.91859207
4.0,6.0,-4399.9145008
4.0,7.0,-4399.90954685
5.0,0.0,-4399.91534993
5.0,1.0,-4399.92147519
5.0,2.0,-4399.92743475
5.0,3.0,-4399.92442088
5.0,4.0,-4399.92413444
5.0,5.0,-4399.92723479
5.0,6.0,-4399.92174816
5.0,7.0,-4399.91535951
6.0,0.0,-4399.91390888
6.0,1.0,-4399.91958326
6.0,2.0,-4399.92569934
6.0,3.0,-4399.92332325
6.0,4.0,-4399.92359199
6.0,5.0,-4399.92671132
6.0,6.0,-4399.92080589
6.0,7.0,-4399.91393637
7.0,0.0,-4399.90927054
7.0,1.0,-4399.91431892
7.0,2.0,-4399.91975554
7.0,3.0,-4399.91718453
7.0,4.0,-4399.91755635
7.0,5.0,-4399.92098555
7.0,6.0,-4399.91569167
7.0,7.0,-4399.90930038
